Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
008_4549_FY19,23.75,23,25.5,23,,,,,,,,,,,,,,,,,,,,,
008_4644_FY19,3.25,2.25,4.5,5.25,13,9.25,13.5,18.25,19.5,17.5,18.75,6.25,10,17.75,,,,,,,,,,,
008_4751_FY19,18.25,20.75,19,19.75,17.25,17,,,,,,,,,,,,,,,,,,,
008_4753_FY19,23,22.25,24,22.5,,,,,,,,,,,,,,,,,,,,,
008_4764_FY19,24,23.5,23.25,25.25,25,24.75,25.25,,,,,,,,,,,,,,,,,,
008_4765_FY19,8.5,6,12,14,14.75,14.5,,,,,,,,,,,,,,,,,,,
008_4771_FY19,21.75,22.5,19.75,21.75,,,,,,,,,,,,,,,,,,,,,
008_4853_FY19,22,23.75,22.25,21.75,21.75,22.5,,,,,,,,,,,,,,,,,,,
008_4860_FY19,25,25,17.5,16.25,17,18.5,18.5,18.75,17,20,,,,,,,,,,,,,,,
008_4976_FY19,19.75,16.25,20.25,21.75,23.25,23,22.5,23,,,,,,,,,,,,,,,,,
008_5168_FY19,4,10.25,12.5,13.25,12.5,13.25,13.5,10,12.5,14.5,,,,,,,,,,,,,,,
008_5185_FY19,6.75,11,10.75,12,13.5,18.75,1,,,,,,,,,,,,,,,,,,
008_5269_FY19,22.75,22.5,21,21.75,,,,,,,,,,,,,,,,,,,,,
008_5375_FY19,10.25,16.5,6.5,5.25,6.75,10.75,9.5,,,,,,,,,,,,,,,,,,
008_5377_FY19,10.5,14.5,22,19.25,18.75,16.5,16.75,15.75,17,,,,,,,,,,,,,,,,
008_5381_FY19,24.75,23.25,22.75,22.5,23.25,,,,,,,,,,,,,,,,,,,,
008_5495_FY19,23,22.5,22.25,21.75,23.25,22.25,,,,,,,,,,,,,,,,,,,
008_5579_FY19,14.5,14.75,11,13,15,14.25,14.25,12.75,,,,,,,,,,,,,,,,,
008_5584_FY19,22.75,22.75,22,21.75,23.5,22,23,,,,,,,,,,,,,,,,,,
008_5592_FY19,23,22.25,23.75,22.5,,,,,,,,,,,,,,,,,,,,,
008_5597_FY19,24.75,25,24,23.25,,,,,,,,,,,,,,,,,,,,,
008_5696_FY19,26.25,25,24.75,24.25,25.5,,,,,,,,,,,,,,,,,,,,
008_5697_FY19,12.75,18.25,12.5,16.75,15.5,6.25,10.5,9.5,13.75,17,19.5,19,16,,,,,,,,,,,,
008_5796_FY19,25,25.5,25.75,25.25,,,,,,,,,,,,,,,,,,,,,
008_5892_FY19,23,22.75,22.25,22,24,22.5,23.25,,,,,,,,,,,,,,,,,,
009_2674_FY19,23.5,23.5,22.25,22.75,23,23,22.5,22.25,24.25,22.5,23.75,23.25,,,,,,,,,,,,,
009_3093_FY19,25.5,25.75,25,24.25,,,,,,,,,,,,,,,,,,,,,
009_3191_FY19,0.25,1,7,16.5,18.75,17.25,23.25,10.25,0,8.5,11.75,15.75,13.75,0.25,,,,,,,,,,,
009_3192_FY19,23,23.25,23.75,24,22.75,23.25,,,,,,,,,,,,,,,,,,,
009_3197_FY19,14.5,14.5,14.75,19,,,,,,,,,,,,,,,,,,,,,
